asdsa,dasfsdweg,fwefgewf@gewfw.cz,1987-03-12,test
test,asda,dsada@asdad.cz,2025-01-17,gtewtwe
dsdafa,gfewfwe,dwqefw@edwq.cz,2025-01-17,wegewfwe
asfewwfgw,fwefewf,dwqfdwq@few.cz,2025-01-18,grwegerge
regregew,gfrwegfwe,dasda@asdq.cz,1156-12-12,fgdswfwef
fewfweg,dqwedq,asda@asda.cz,1212-12-12,gwergwerf
gwergwefw,wefwefw,dwef@fwe.cz,2222-02-12,fwegwe
gwergwe,wefwe,asda@wqfq.cz,1212-12-12,12ergwer
dafewq,wegweg,,,dadwqd
gwefwe,fwefwe,,,gewrgwe
Petr,Nový,petr.novy@gmail.cz,1988-12-12,"Toto je moje osoba",
Petr,Nový,petr.novy@gmail.cz,1988-12-12,"Toto je moje osoba",
Petr,Nový,petr.novy@gmail.cz,1988-12-12,"Toto je moje osoba",
Petr,Nový,petr.novy@gmail.cz,1988-12-12,"Toto je moje osoba",
Petr,Nový,petr.novy@gmail.cz,1988-12-12,"Toto je moje osoba","Chyba: 0 "
